Candidato;Partido;Número de Votos;Percentual
MARIA DE FATIMA DE ARAUJO FREITAS;MDB;2;
MARIA ALESSANDRA PANTALEÃO DOS SANTOS;MDB;6;
WILLIAM BIZERRA DOS SANTOS;MDB;9;
ARNALDO BENTO DA SILVA FILHO;PTB;1;
GERALDO DOS SANTOS;PTB;18;
JOSÉ CARLOS SILVA MONTEIRO;PTB;2;
WELLINGTON DOS SANTOS;PTB;3;
INALDO GONÇALVES DA SILVA;PTB;1;
ISAEL RIBEIRO DOS SANTOS;PTB;11;
LEVI JOSÉ DA SILVA;PTB;5;
LOURIVAL DOS SANTOS LIMA;PTB;2;
DAIANA SILVA DE SOUSA;PTB;10;
PRISCILA FERNANDES GOMES;PTB;3;
SUYANNE VALERIO DE LIMA;PTB;3;
MANOEL ELIAS DE MELO CALHEIROS;MDB;7;
ADEILSON DE ARAUJO VIEIRA;MDB;12;
CLEIDE JANE DOS SANTOS;MDB;1;
JOSÉ RENATO DOS SANTOS;MDB;13;
DJALMA DA ROSA CALHEIROS;MDB;16;
JOSÉ WILLIAMS ALMEIDA DOS SANTOS;MDB;1;
LEANDRO JOÃO DA SILVA;PSDB;4;
ADEVAN DE LIMA SILVA;PSDB;3;
ARNALDO DA SILVA LIMA;PSDB;1;
THAYSE FERNANDA SOUSA BARROS LEITE;PSDB;11;
SUYANNE VALERIO DE LIMA;PTB;2;
LOURIVAL DOS SANTOS LIMA;PTB;3;
DAIANA SILVA DE SOUSA;PTB;8;
PRISCILA FERNANDES GOMES;PTB;7;
ARY CLEYTON DE CARVALHO REGO;MDB;17;
MANOEL LUIS SANTOS DA SILVA;MDB;12;
EGUIMAR FERREIRA DA SILVA;MDB;16;
MARIA DE FATIMA DE ARAUJO FREITAS;MDB;6;
ARNALDO BENTO DA SILVA FILHO;PTB;1;
GERALDO DOS SANTOS;PTB;11;
ROZILENE RODRIGUES GOMES ALBUQUERQUE;PTB;2;
WELLINGTON DOS SANTOS;PTB;1;
INALDO GONÇALVES DA SILVA;PTB;5;
JOSÉ WILLIAMS ALMEIDA DOS SANTOS;MDB;3;
LEANDRO JOÃO DA SILVA;PSDB;3;
ADEVAN DE LIMA SILVA;PSDB;3;
ARNALDO DA SILVA LIMA;PSDB;2;
THAYSE FERNANDA SOUSA BARROS LEITE;PSDB;9;
ALEXSANDRO DE LIMA;PSDB;4;
FABIANA DE OLIVEIRA SILVA;PSDB;3;
JOSÉ CICERO DE OLIVEIRA;PSDB;3;
MARIA ALESSANDRA PANTALEÃO DOS SANTOS;MDB;6;
WILLIAM BIZERRA DOS SANTOS;MDB;16;
SIDIANE MARIA LIMA DA SILVA;MDB;1;
